id;t_0;d_0;m_0;t_200;d_200;m_200;t_365;d_365;total;status
1;1841;72008;96868;4791;35007;27764;30584;9800;10547;programming
2;55528;69254;63683;1985;65280;77428;86185;56542;84109;Tools Distributed
3;27603;74876;800;57867;18617;26573;91028;22970;49308;bypassing
4;42746;23394;14166;10737;52208;97733;10140;96762;48986;Consultant
5;34648;36164;77812;52368;84889;3030;87611;19983;58641;salmon RSS Soft
6;11087;48334;89463;3466;53690;10203;36778;23418;20829;invoice
7;39606;96139;4124;30786;96434;18283;41463;16487;60336;scalable
8;47214;123;56012;67487;11993;47324;3433;76857;74910;Rubber Facilitator homogeneous
9;54056;9926;47316;88099;43408;5109;97440;44821;47844;Colombia whiteboard
10;95684;88156;44547;50769;61756;35224;48956;81378;30351;mobile
