id;ear_tag_id;master_identifier;country;herd_id;birth_date;gender;name;bovine_status;horn_status;matri_id;patri_id;weight_0;weight_200;weight_365
1;2091;SE-15112-2091;SE;15112;2002-05-22T00:00:00;HEIFER;Uppee;MEAT;HORNED;988;0;41;301;501
2;2702;SE-15112-2702;SE;15112;2015-03-31T00:00:00;HEIFER;Polled Epargne;ON_FARM;POLLED;2591;2576;40;300;500
3;2591;SE-15112-2591;SE;15112;2012-03-25T00:00:00;HEIFER;_;ON_FARM;DISBUDDED;2504;2010;40;300;500
4;2576;SE-15112-2576;SE;15112;2012-12-29T00:00:00;BULL;_;ON_FARM;DEHORNED;2713;2688;41;301;501
5;2916;SE-15112-2916;SE;15112;2019-05-29T00:00:00;HEIFER;Polled Europe av Bon;ON_FARM;HORNED;2713;2688;41;301;501
6;2713;SE-15112-2713;SE;15112;2015-04-29T00:00:00;HEIFER;Polled Europe;ON_FARM;HORNED;2144;0;41;301;501
7;2144;SE-15112-2144;SE;15112;2004-02-29T00:00:00;HEIFER;_;ON_FARM;DISBUDDED;190;2165;41;301;501
8;2688;SE-15112-2688;SE ;15112;2014-07-10T00:00:00;BULL;Polled Jonatan;ON_FARM;DISBUDDED;2360;2583;41;301;501
9;190;SE-15112-190;SE;15112;2000-12-28T00:00:00;HEIFER;_;UNKNOWN;POLLED;0;0;41;301;501
10;2165;SE-15112-2165;SE;15112;2019-12-29T00:00:00;BULL;_;SOLD;SCURS;49134;44976;41;301;501
