id;status;date;edited;herd_id;new_herd_id;sub_state_1;sub_state_2;bovine_id
1;RET;2019-12-29T09:23:14;2019-12-29T21:10:51;98973;30749;69012;77255;1
2;IB;2019-12-29T13:44:18;2019-12-29T08:26:09;17425;82328;8882;85769;2
3;IB;2019-12-29T01:51:05;2019-12-29T06:04:25;95323;73080;12382;57267;3
4;TU;2019-12-28T23:04:54;2019-12-29T04:06:54;46034;23151;95385;43065;4
5;TU;2019-12-29T14:10:45;2019-12-29T13:47:23;8277;2226;71144;5343;5
6;RET;2019-12-29T15:36:25;2019-12-29T06:12:22;88127;3718;94839;44652;6
7;RET;2019-12-29T17:15:43;2019-12-29T11:19:03;88359;89980;48039;47327;7
8;FOD;2019-12-29T18:51:35;2019-12-29T20:59:54;97637;11605;40626;1525;8
9;UTG;2019-12-29T14:58:43;2019-12-29T13:48:32;79479;37291;32567;70464;9
10;RET;2019-12-29T17:40:10;2019-12-29T18:09:16;49708;55698;92837;1033;10
